id,track_name,album,artists,popularity,total_tracks_in_album,album_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,75,13,2013-05-17,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,337560
7Bxv0WL7UC6WwQpk9TzdMJ,Within,Random Access Memories,Daft Punk,59,13,2013-05-17,0.702,0.297,10,-14.116,0,0.0317,0.894,0.485,0.103,0.0676,110.116,228507
11OwAR3GlBj9E35Cznf7Lj,Vulnerable,Rare,Selena Gomez,56,13,2020-01-10,0.695,0.573,10,-8.882,1,0.167,0.132,0.000137,0.156,0.38,100.031,192172
0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,Miley Cyrus,100,1,2023-01-13,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Post Malone,81,13,2018-12-14,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Rare,Selena Gomez,81,13,2020-01-10,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459
4JyGEgUGVkiszOv2caAYlm,Isn't It A Pity,On Fire,Galaxie 500,33,13,1989-09-01,0.276,0.615,9,-7.249,0,0.0303,0.357,0.878,0.154,0.336,83.414,314360
7x46YkKAwp3yZpaa72n5Mu,Stubborn Love,The Lumineers (Deluxe Edition),The Lumineers,66,16,2012-01-01,0.596,0.544,0,-11.759,1,0.0362,0.604,0.017,0.262,0.262,115.022,279000
2rtGaCAeYtmcIvuZsvgTf6,How to Disappear Completely,Kid A,Radiohead,66,11,2000-10-02,0.167,0.302,6,-11.644,0,0.0345,0.316,0.797,0.11,0.19,102.026,356333
73jVPicY2G9YHmzgjk69ae,Robbers,The 1975,The 1975,72,16,2013-01-01,0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,254510
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Bangerz (Deluxe Version),Miley Cyrus,81,16,2013-10-04,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360
02fZLz9BmmOKb5wkueM9D4,If You Ever Want To Be In Love,Chaos And The Calm,James Bay,50,12,2015-03-20,0.683,0.837,0,-5.46,1,0.0307,0.0276,2.98e-05,0.0627,0.565,115.933,238973
4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,Plastic Hearts,Miley Cyrus,78,15,2020-11-27,0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,223280
6lk46B4X0Yj5S2v6OD7kIE,A Mountain with No Ending,Faraway Reach,Classixx,34,12,2016-06-03,0.51,0.275,11,-14.036,1,0.0349,0.933,0.000375,0.0946,0.295,120.003,213000
7LZgdL0MxiElfaKZbuuE4l,Asleep - 2011 Remaster,Louder Than Bombs,The Smiths,62,24,1987-01-01,0.512,0.255,0,-15.867,1,0.0291,0.88,0.532,0.146,0.215,115.144,253560
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,78,16,2013-10-04,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,231240
0WlRW4CG9ccUi96tP7GAwL,Morning Theft,Sketches for My Sweetheart The Drunk (Expanded Edition),Jeff Buckley,45,22,1998-05-26,0.393,0.274,10,-11.695,1,0.0301,0.7,0.0,0.111,0.0486,98.374,219467
31dqyIkGxnpHB69f0CR9U1,Sinmigo,Invencibles,Mr. Kilombo,51,10,2016-10-07,0.406,0.167,6,-15.159,1,0.033,0.91,2.09e-05,0.112,0.385,94.742,205653
